2026-05-01 00:18:40 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:40 | INFO     | cross_validation |   Fold 5/5: train=1920 (orig=640, aug=1280), val=159, acc=74.21%  [0.1s]
2026-05-01 00:18:40 | INFO     | cross_validation |   CV result: 73.34% ± 2.44%
2026-05-01 00:18:40 | INFO     | cross_validation |   Combo 12/20: {'n_neighbors': 12}
2026-05-01 00:18:40 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:40 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:40 | INFO     | cross_validation |   Fold 1/5: train=1917 (orig=639, aug=1278), val=160, acc=70.00%  [0.1s]
2026-05-01 00:18:40 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:40 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:40 | INFO     | cross_validation |   Fold 2/5: train=1917 (orig=639, aug=1278), val=160, acc=71.25%  [0.1s]
2026-05-01 00:18:40 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:40 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:40 | INFO     | cross_validation |   Fold 3/5: train=1917 (orig=639, aug=1278), val=160, acc=77.50%  [0.2s]
2026-05-01 00:18:40 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:41 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:41 | INFO     | cross_validation |   Fold 4/5: train=1917 (orig=639, aug=1278), val=160, acc=75.00%  [1.0s]
2026-05-01 00:18:41 | DEBUG    | reduction | Scaler fitted on 640 samples, 166 features
2026-05-01 00:18:41 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:42 | INFO     | cross_validation |   Fold 5/5: train=1920 (orig=640, aug=1280), val=159, acc=73.58%  [0.4s]
2026-05-01 00:18:42 | INFO     | cross_validation |   CV result: 73.47% ± 2.67%
