2026-05-01 00:38:11 | INFO     | cross_validation |   Fold 3/5: train=1917 (orig=639, aug=1278), val=160, acc=78.12%  [11.4s]
2026-05-01 00:38:11 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:38:24 | INFO     | cross_validation |   Fold 4/5: train=1917 (orig=639, aug=1278), val=160, acc=71.88%  [13.3s]
2026-05-01 00:38:24 | DEBUG    | reduction | Scaler fitted on 640 samples, 166 features
2026-05-01 00:38:44 | INFO     | cross_validation |   Fold 5/5: train=1920 (orig=640, aug=1280), val=159, acc=74.21%  [19.6s]
2026-05-01 00:38:44 | INFO     | cross_validation |   CV result: 75.97% ± 2.51%
2026-05-01 00:38:44 | INFO     | cross_validation |   Combo 8/16: {'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0}
2026-05-01 00:38:44 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:38:57 | INFO     | cross_validation |   Fold 1/5: train=1917 (orig=639, aug=1278), val=160, acc=75.62%  [13.0s]
2026-05-01 00:38:57 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:39:33 | INFO     | cross_validation |   Fold 2/5: train=1917 (orig=639, aug=1278), val=160, acc=77.50%  [33.8s]
2026-05-01 00:39:33 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:39:56 | INFO     | cross_validation |   Fold 3/5: train=1917 (orig=639, aug=1278), val=160, acc=76.88%  [20.0s]
2026-05-01 00:39:56 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:40:09 | INFO     | cross_validation |   Fold 4/5: train=1917 (orig=639, aug=1278), val=160, acc=70.00%  [13.4s]
2026-05-01 00:40:09 | DEBUG    | reduction | Scaler fitted on 640 samples, 166 features
2026-05-01 00:40:25 | INFO     | cross_validation |   Fold 5/5: train=1920 (orig=640, aug=1280), val=159, acc=72.96%  [12.7s]
2026-05-01 00:40:25 | INFO     | cross_validation |   CV result: 74.59% ± 2.77%
2026-05-01 00:40:25 | INFO     | cross_validation |   Combo 9/16: {'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}
2026-05-01 00:40:25 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:40:28 | INFO     | cross_validation |   Fold 1/5: train=1917 (orig=639, aug=1278), val=160, acc=76.88%  [3.0s]
2026-05-01 00:40:28 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:40:31 | INFO     | cross_validation |   Fold 2/5: train=1917 (orig=639, aug=1278), val=160, acc=76.25%  [3.1s]
2026-05-01 00:40:31 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:40:34 | INFO     | cross_validation |   Fold 3/5: train=1917 (orig=639, aug=1278), val=160, acc=76.25%  [3.2s]
2026-05-01 00:40:34 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:40:37 | INFO     | cross_validation |   Fold 4/5: train=1917 (orig=639, aug=1278), val=160, acc=70.00%  [3.3s]
2026-05-01 00:40:37 | DEBUG    | reduction | Scaler fitted on 640 samples, 166 features
